noBtg,jenis,panjang,pangkal,ujung,rata2,volume,grCm,grPersen
A1149,MM,20.5,70,46,58,5.42,0,0
A1150,MM,14.9,87,68,77,6.94,0,0
A1151,MM,18.2,78,57,67,6.42,0,0
A1152,MM,20.4,62,45,53,4.5,0,0
A1153,MP,17.5,85,68,76,7.94,0,0
A1154,MM,21.2,77,60,68,7.7,0,0
A1155,MK,19.4,81,59,70,7.47,0,0
A1156,MM,20,75,59,67,7.05,0,0
A1157,MM,18.7,65,44,54,4.28,0,0
A1158,MM,16.1,62,51,56,3.97,0,0
A1159,MM,11.5,67,55,61,3.36,0,0
A1160,MM,18.6,79,62,70,7.16,0,0
A1161,MM,21.5,77,59,68,7.81,0,0
A1162,MM,16.9,76,59,67,5.96,0,0
A1163,MB,18,67,54,60,5.09,0,0
A1164,MB,13.9,68,66,67,4.9,0,0
A1165,MM,14.5,70,57,63,4.52,0,0
A1166,MRS,19.1,58,42,50,3.75,0,0
A1167,MM,17.6,57,47,52,3.74,0,0
A1168,MM,18.6,65,44,54,4.26,0,0
A1169,MM,17.5,67,51,59,4.78,0,0
A1170,BNS,19.5,57,40,48,3.33,10,5.5
A1171,MM,19.1,56,41,48,3.46,0,0
A1172,MM,21.2,60,48,54,4.86,0,0
A1173,KR,19.7,71,44,57,5.03,0,0
A1174,KR,21.1,79,54,66,7.22,0,0
A1175,KR,19.4,67,44,55,4.61,0,0
A1176,KR,20.1,80,55,67,7.09,0,0
A1177,KR,20.3,81,77,79,9.95,0,0
A1178,KR,21.3,87,59,73,8.91,0,0
A1179,KR,17.3,63,43,53,3.82,0,0
A1180,KR,15.5,68,51,59,4.24,0,0
A1181,KR,20.9,71,50,60,5.91,0,0
A1182,KR,21.7,67,44,55,5.16,0,0
A1183,BNS,21,77,59,68,7.63,0,0
A1184,MM,15.2,56,46,51,3.11,0,0
A1185,MM,17.6,62,40,51,3.6,0,0
A1186,MM,22,76,51,63,6.86,0,0
A1187,KR,16,60,50,55,3.8,0,0
A1188,KR,19.7,89,75,82,10.4,0,0
A1189,MM,18.3,116,80,98,13.8,0,0
A1190,MM,14.6,71,54,62,4.41,0,0
A1191,MM,17.6,73,58,65,5.84,0,0
A1192,MM,20.7,67,58,62,6.25,0,0
A1193,LMB,18.6,70,59,64,5.98,0,0
A1194,MM,12.5,73,63,68,4.54,0,0
A1195,MM,14.3,83,74,78,6.83,0,0
A1196,KR,14.8,69,51,60,4.18,0,0
A1197,KR,14.5,97,85,91,9.43,0,0
A1198,KR,18.6,69,48,58,4.91,0,0
A1199,MM,20.9,79,62,70,8.04,0,0
A1200,MM,16,74,62,68,5.81,0,0
A1201,KR,17.4,91,72,81,8.97,0,0
A1202,MM,15.3,111,99,105,13.25,0,0
A1203,MM,19,82,63,72,7.74,0,0
A1204,MM,19.3,65,48,56,4.75,0,0
A1205,BNS,11.6,66,53,59,3.05,10,3.7
A1206,KR,17.5,75,48,61,5.11,0,0
A1207,KR,21.6,74,46,60,6.11,0,0
A1208,KR,13.8,114,102,108,12.64,0,0
A1209,KR,20.3,81,64,72,8.27,0,0
A1210,KR,20.9,88,62,75,9.23,0,0
A1211,KR,21.3,62,42,52,4.52,0,0
A1212,KR,18.3,63,43,53,4.04,0,0
A1213,KR,18.5,58,41,49,3.49,0,0
A1214,BNS,11.9,114,96,105,9.3,29,9.7
A1215,BNS,18.5,87,52,69,6.1,21,11.8
A1216,BNS,17.8,69,54,61,5.2,0,0
A1217,KR,18.5,76,49,62,5.59,0,0
A1218,BNS,11.3,95,85,90,7.19,0,0
A1219,BNS,10.2,102,84,93,6.93,0,0
A1220,KR,15.3,80,60,70,5.89,0,0
A1221,KR,19.8,65,50,57,5.05,0,0
A1222,KR,16.7,68,48,58,4.41,0,0
A1223,KR,13.5,84,69,76,6.12,0,0
A1224,MM,14.6,87,72,79,7.16,0,0
A1225,MM,20,93,65,79,9.8,0,0
A1226,MM,15.2,62,51,56,3.74,0,0
A1227,MM,17.5,85,62,73,7.32,0,0
A1228,MM,20.2,75,55,65,6.7,0,0
A1229,MM,13.6,98,87,92,9.04,0,0
A1230,KR,19.4,70,51,60,5.49,0,0
A1231,KR,15.9,90,74,82,8.4,0,0
A1232,BNS,19.2,75,60,67,6.58,10,2.8
A1233,MM,18.5,81,69,75,8.17,0,0
A1234,MM,14,73,55,64,4.5,0,0
A1235,MM,20,76,54,65,6.64,0,0
A1236,BNS,14.3,73,54,63,4.46,0,0
A1237,BNS,13.6,108,101,104,11.55,0,0
A1238,BNS,13.3,124,106,115,13.81,0,0
A1239,KR,16.2,77,46,61,4.73,0,0
A1240,BNS,15.7,73,53,63,4.89,0,0
A1241,KR,15,86,60,73,6.28,0,0
A1242,KR,12.8,63,51,57,3.27,0,0
A1243,KR,13.4,56,47,51,2.74,0,0
A1244,KR,15.4,76,55,65,5.11,0,0
A1245,MK,17.8,80,64,72,7.25,0,0
A1246,MM,19.7,70,52,61,5.76,0,0
A1247,MM,22.1,76,56,66,7.56,0,0
A1248,MM,18.3,62,51,56,4.51,0,0
A1249,KR,17.6,103,83,93,11.96,0,0
A1250,KR,11.5,67,56,61,3.36,0,0
A1251,MP,22.4,70,44,57,5.72,0,0
A1252,KR,22.6,58,41,49,4.26,0,0
A1253,KR,12.6,58,49,53,2.78,0,0
A1254,KR,13.6,84,74,79,6.67,0,0
A1255,KR,12.5,87,67,77,5.82,0,0
A1256,KR,12.6,74,64,69,4.71,0,0
A1257,KR,14.5,68,58,63,4.52,0,0
A1258,MM,10.4,73,71,72,4.23,0,0
A1259,MK,12.3,72,59,65,4.08,0,0
A1260,MK,12,83,72,77,5.59,0,0
A1261,MM,15,82,67,74,6.45,0,0
A1262,MM,17.5,83,67,75,7.73,0,0
A1263,MP,17.9,79,77,78,8.55,0,0
A1264,MM,15.4,57,43,50,3.02,0,0
A1265,MM,13.1,62,47,54,3,0,0
A1266,MM,16.6,58,44,51,3.39,0,0
A1267,MM,15.2,89,76,82,8.03,0,0
A1268,KR,13,77,68,72,5.29,0,0
A1269,MM,15.6,71,63,67,5.5,0,0
A1270,MK,21.1,72,48,60,5.97,0,0
A1271,MM,18.3,72,60,66,6.26,0,0
A1272,MP,20.7,77,54,65,6.87,0,0
A1273,MK,18.1,70,51,60,5.12,0,0
A1274,MM,15.3,59,42,50,3,0,0
A1275,MM,18.8,78,59,68,6.83,0,0
A1276,MM,19.7,72,52,62,5.95,0,0
A1277,MM,15.4,59,57,58,4.07,0,0
A1278,MM,15.7,60,44,52,3.33,0,0
A1279,MM,14.5,77,65,71,5.74,0,0
A1280,MM,13.7,58,49,53,3.02,0,0
A1281,MM,17.7,60,48,54,4.05,0,0
A1282,MM,17,72,51,61,4.97,0,0
A1283,MM,18.5,59,44,51,3.78,0,0
A1284,MM,18,71,55,63,5.61,0,0
A1285,MM,18.5,71,53,62,5.59,0,0
A1286,MM,19.4,83,66,74,7.64,19,8.4
A1287,LMB,20.4,82,72,77,9.5,0,0
A1288,KR,11.1,66,64,65,3.68,0,0
A1289,MM,13.4,86,72,79,6.57,0,0
A1290,BNS,11.5,107,102,104,9.77,0,0
A1291,BNS,10.5,128,109,118,11.14,18,3
A1292,BNS,12.2,129,114,121,13.54,20,3.5
A1293,BNS,12.1,110,90,100,9.5,0,0
A1294,MP,16.3,70,59,64,5.24,0,0
A1295,BNS,21.3,94,78,86,11.04,25,10.8
A1296,KR,16.6,86,70,78,7.93,0,0
A1297,KR,18.5,96,67,81,9.53,0,0
A1298,KR,19.5,66,47,56,4.8,0,0
A1299,KR,13.2,85,73,79,6.47,0,0
A1300,KR,16.7,84,66,75,7.38,0,0
A1301,KR,14.3,67,56,61,4.18,0,0
A1302,MM,21.1,87,53,70,8.12,0,0
A1303,BNS,20.4,87,67,77,8.68,20,8.6
A1304,MP,18.2,68,52,60,5.15,0,0
A1305,MM,17.1,74,53,63,5.33,0,0
A1306,MM,12.9,62,51,56,3.18,0,0
A1307,MM,21.4,67,51,59,5.85,0,0
A1308,MM,13.7,76,62,69,5.12,0,0
A1309,MM,21.9,73,51,62,6.61,0,0
A1310,MM,17.6,82,64,73,7.37,0,0
A1311,MM,19.6,82,58,70,7.54,0,0
A834,MM,18.7,58,45,51,3.82,0,0
A1312,KR,17.6,71,59,65,5.84,0,0
A1313,KR,10.8,108,102,105,9.35,0,0
A1314,KR,11,118,102,110,10.45,0,0
A1315,KR,18.1,84,63,73,7.58,0,0
A1316,KR,18.8,86,64,75,8.31,0,0
A1317,KR,17.7,75,52,63,5.52,0,0
A1318,KR,19.7,73,51,62,5.95,0,0
A1319,KR,22.1,93,62,77,10.29,0,0
A1320,KR,14.8,63,47,55,3.52,0,0
A1321,KR,16,57,47,52,3.4,0,0
A1322,KR,20.2,69,51,60,5.71,0,0
A1323,KR,20.1,84,57,70,7.74,0,0
A1324,KR,15.1,72,51,61,4.41,0,0
A1325,KR,16,57,41,49,3.02,0,0
A1326,KR,14.6,77,64,70,5.62,0,0
A1327,KR,12,81,64,72,4.89,0,0
A1328,KR,12.9,91,76,83,6.98,0,0
A1329,BNS,16.3,74,57,65,5.09,14,5.9
A1330,MM,18.4,73,55,64,5.92,0,0
A1331,BNS,15.5,85,70,77,6.99,12,3.1
A1332,LMB,16.1,88,73,80,8.09,0,0
A1333,MK,11.5,105,90,97,8.5,0,0
A1334,MM,15.8,67,54,60,4.47,0,0
A1335,BNS,14.5,87,74,80,6.38,25,12.4
A1336,BNS,18.4,64,46,55,3.64,20,16.8
A1337,MM,15.4,64,54,59,3.91,14,7.2
A1338,MM,18,71,54,62,5.43,0,0
A1339,MP,21.1,93,75,84,11.69,0,0
A1340,MM,18.7,75,56,65,6.21,0,0
A1341,MM,16.3,72,57,64,5.24,0,0
A1342,MM,16.1,65,51,58,4.25,0,0
A1343,MM,10.9,98,79,88,6.63,0,0
A1344,MM,11.8,80,65,72,4.8,0,0
A1345,MK,14.7,69,51,60,4.16,0,0
A1346,MM,18.2,67,51,59,4.98,0,0
A1347,MM,11.4,70,60,65,3.78,0,0
A1348,MM,14.5,78,65,71,5.74,0,0
A1349,MM,18.5,69,56,62,5.59,0,0
A1350,MM,13.3,85,79,82,7.02,0,0
A1351,MM,13,78,67,72,5.29,0,0
A1352,MM,19,69,52,60,5.37,0,0
A1353,MM,17.6,64,51,57,4.49,0,0
A1354,BNS,17,93,76,84,9.42,0,0
A1355,MM,16.7,59,51,55,3.97,0,0
A1356,KR,19.4,69,51,60,5.49,0,0
A1357,KR,19.2,89,64,76,8.71,0,0
A1358,KR,16.7,114,84,99,12.86,0,0
A1359,KR,14.6,67,55,61,4.27,0,0
A1360,KR,13.4,62,52,57,3.42,0,0
A1361,KR,17.7,63,46,54,4.05,0,0
A1362,KR,15.8,96,79,87,9.39,0,0
A1363,KR,21.1,67,52,59,5.77,0,0
A1364,KR,18.7,62,47,54,4.28,0,0
A1365,KR,20.7,99,74,86,12.02,0,0
A1366,MM,20.5,69,54,61,5.99,0,0
A1367,MP,19.6,66,54,60,5.54,0,0
A1368,MM,14.1,68,50,59,3.85,0,0
A1369,LMB,17.7,76,57,66,6.06,0,0
A1370,KR,20.9,64,53,58,5.52,0,0
A1371,MM,22,69,51,60,6.22,0,0
A1372,KR,21.5,84,58,71,8.51,0,0
A1373,KR,15.1,57,41,49,2.85,0,0
A1374,KR,10.9,97,79,88,6.63,0,0
A1375,KR,16.9,96,70,83,9.14,0,0
A1376,KR,18.4,68,47,57,4.7,0,0
A1377,BNS,14.6,64,53,58,3.48,16,9.7
A1378,MM,16.6,69,51,60,4.69,0,0
A1379,MB,15.8,92,80,86,8.54,20,6.9
A1380,BNS,15.8,70,53,61,4.62,0,0
A1381,BNS,14.2,73,54,63,4.43,0,0
A1382,MM,13.3,66,55,60,3.76,0,0
A1383,MM,18.2,84,75,79,8.92,0,0
A1384,MM,18.6,60,47,53,4.1,0,0
A1385,KR,17.2,90,58,74,7.4,0,0
A1386,KR,14.3,73,60,66,4.89,0,0
A1387,MM,22.1,72,52,62,6.67,0,0
A1388,MK,21.1,72,48,60,5.97,0,0
A1389,MM,11.5,62,56,59,3.14,0,0
A1390,MM,20.9,62,48,55,4.97,0,0
A1391,MM,15.6,110,83,96,11.29,0,0
A1392,MM,11.9,83,73,78,5.69,0,0
A1393,MM,20.4,78,63,70,7.85,0,0
A1394,MM,17.4,66,54,60,4.67,12,5.1
A1395,MM,14.7,66,49,57,3.75,0,0
A1396,MP,15.5,77,67,72,6.31,0,0
A1397,MM,17.3,74,58,66,5.92,0,0
A1398,MP,11,72,62,67,3.88,0,0
A1399,BNS,12.3,76,70,73,4.04,30,21.5
A1400,MM,14.8,86,70,78,7.07,0,0
A1401,MK,14.1,113,102,107,12.68,0,0
A1402,MM,9.8,81,72,76,4.45,0,0
A1403,KR,13.2,74,59,66,4.52,0,0
A1404,MM,17.2,75,59,67,6.06,0,0
A1405,KR,17.4,74,54,64,5.6,0,0
A1406,MM,20,84,66,75,8.84,0,0
A1407,MM,19.4,68,60,64,6.24,0,0
A1408,MM,10.4,72,66,69,3.89,0,0
A1409,MM,15.2,65,54,59,4.16,0,0
A1410,MM,14.2,84,78,81,7.32,0,0
A1411,MM,10,75,62,68,3.63,0,0
A1412,KR,12,94,73,83,6.49,0,0
A1413,MM,13.6,71,63,67,4.79,0,0
A1414,MM,11.4,79,65,72,4.64,0,0
A1415,MK,11.9,105,89,97,8.79,0,0
A1416,MM,20,79,64,71,7.92,0,0
A1417,MM,20.7,82,64,73,8.66,0,0
A1418,BNS,9.1,96,81,88,4.96,25,10.3
A1419,MM,9.3,69,58,63,2.9,0,0
A1420,KR,19.9,73,53,63,6.2,0,0
A1421,KR,17.4,69,59,64,5.6,0,0
A1422,BNS,14.2,115,108,111,12.46,30,9.3
A1423,KR,15,94,74,84,8.31,0,0
A1424,KR,16.7,75,57,66,5.71,0,0
A1425,MP,20,74,57,65,6.64,0,0
A1426,MM,20.6,82,70,76,9.35,0,0
A1427,MM,12.1,74,62,68,4.39,0,0
A1428,MM,15.9,69,51,60,4.5,0,0
A1429,MM,21.1,81,67,74,9.07,0,0
A1430,KR,14.2,75,58,66,4.86,0,0
A1431,KR,19.7,64,51,57,5.03,0,0
A1432,BNS,18.5,66,52,59,4.32,20,14.6
A1433,KR,12.6,82,73,77,5.87,0,0
A1434,KR,20.5,75,57,66,7.01,0,0
A1435,MM,18.8,52,42,47,3.26,0,0
A1436,MM,12.4,72,63,67,4.37,0,0
A1437,KR,16.6,58,43,50,3.26,0,0
A1438,KR,17,79,67,73,7.12,0,0
A1439,BNS,10.5,69,66,67,3.15,23,15
A1440,KR,22.4,67,52,59,6.12,0,0
A1441,KR,13.7,58,52,55,3.25,0,0
A1442,MM,19.7,85,62,73,8.25,0,0
A1443,KR,18.1,55,40,47,3.14,0,0
A1444,KR,17.3,58,46,52,3.67,0,0
A1445,KR,14.4,63,44,53,3.18,0,0
A1446,KR,19.3,70,58,64,6.21,0,0
A1447,KR,17.5,63,47,55,4.16,0,0
A1448,KR,14.7,63,49,56,3.62,0,0
A1449,KR,17.5,63,44,53,3.86,0,0
A1450,KR,18.3,70,42,56,4.51,0,0
A1451,KR,14,72,52,62,4.23,0,0
A1452,KR,15.3,64,49,56,3.77,0,0
A1453,BNS,20.8,62,44,53,4.59,0,0
A1454,BNS,22.1,62,45,53,4.66,10,4.5
A1455,BNS,14.3,69,62,65,4.75,0,0
A1456,MM,11.9,126,92,109,11.1,0,0
A1457,MM,16,75,55,65,5.31,0,0
A1458,BNS,12.3,107,86,96,8.25,23,7.3
A1459,BNS,12.6,86,78,82,6.65,0,0
A1460,BNS,15.5,64,45,54,3.55,0,0
A1461,MK,12.3,64,58,61,3.59,0,0
A1462,MM,18.8,74,58,66,6.43,0,0
A1463,BNS,12.1,81,65,73,5.06,0,0
A1464,MB,16.8,69,54,61,4.91,0,0
A1465,MB,14.6,60,54,57,3.73,0,0
A1466,BNS,17.7,65,56,60,5,0,0
A1467,MM,19.4,65,51,58,5.13,0,0
A1468,KR,15.6,72,56,64,5.02,0,0
A1469,KR,12.8,75,62,68,4.65,0,0
A1470,KR,12.7,82,67,74,5.46,0,0
A1471,KR,19.8,60,44,52,4.2,0,0
A1472,KR,17.1,56,41,48,3.09,0,0
A1473,KR,18.1,67,46,56,4.46,0,0
A1474,KR,19.3,62,44,53,4.26,0,0
A1475,MRS,18.9,69,44,56,4.23,15,9.1
A1476,KR,11.1,51,42,46,1.84,0,0
A1477,KR,18,66,53,59,4.92,0,0
A1478,KR,20.2,59,41,50,3.97,0,0
A1479,MB,11.1,90,75,82,5.67,13,3.2
A1480,MB,15.2,89,75,82,7.42,20,7.6
A1481,MM,17.5,66,55,60,4.95,0,0
A1482,BNS,16.7,56,43,49,3.15,0,0
A1483,MM,18,79,62,70,6.93,0,0
A1484,MB,19.5,80,62,71,7.72,0,0
A1485,MB,13.2,89,72,80,6.64,0,0
A1486,KR,18.9,75,67,71,7.48,0,0
A1487,MRS,14.5,105,86,95,10.28,0,0
A1488,KR,18.5,59,41,50,3.63,0,0
A1489,MM,16.4,63,42,52,3.11,15,10.6
A1490,MM,21.1,70,51,60,5.97,0,0
A1491,MM,18.4,65,54,59,5.03,0,0
A1492,KR,16.9,62,48,55,3.77,12,6.1
A1493,KR,13.5,57,42,49,2.55,0,0
A1494,KR,16.4,56,42,49,3.09,0,0
A1495,MRS,21.1,84,62,73,8.83,0,0
A1496,MM,18,71,60,65,5.97,0,0
A1497,MB,9.9,76,66,71,3.82,10,2.5
A1498,MB,9.7,65,55,60,2.74,0,0
A1499,MM,10.9,77,65,71,4.21,10,2.5
A1500,MM,11,82,70,76,4.99,0,0
A1501,MM,18,63,55,59,4.92,0,0
A1502,MB,19.2,62,47,54,4.4,0,0
A1503,MB,19.9,69,55,62,6.01,0,0
A1504,MM,14.1,82,53,67,4.97,0,0
A1505,MM,16.1,107,85,96,11.65,0,0
A1506,MM,15.6,62,46,54,3.57,0,0
A1507,BNS,17.1,71,56,63,5.33,0,0
A1508,MRS,11.1,84,82,83,6.01,0,0
A1509,KR,20.5,78,50,64,6.59,0,0
A1510,LMB,19.7,76,62,69,7.37,0,0
A1511,BNS,19,57,47,52,4.04,0,0
A1512,MB,20.4,60,47,53,4.5,0,0
A1513,MB,8.1,74,65,69,3.03,0,0
A1514,MB,9.3,57,47,52,1.98,0,0
A1515,MM,15,64,51,57,3.83,0,0
A1516,KR,16.6,89,68,78,7.93,0,0
A1517,KR,15.2,81,72,76,6.9,0,0
A1518,KR,16.2,77,52,64,5.21,0,0
A1519,KR,12.2,86,73,79,5.98,0,0
A1520,KR,16.8,98,77,87,9.99,0,0
A1521,MB,16.4,102,86,94,10.72,20,5.8
A1522,KR,22,68,47,57,5.61,0,0
A1523,MRS,20.6,72,53,62,6.22,0,0
A1524,MM,17.5,73,56,64,5.63,0,0
A1525,MB,16.2,72,50,61,4.73,0,0
A1526,MM,15.8,88,74,81,8.14,0,0
A1527,MM,9.9,55,47,51,1.8,15,11
A1528,MM,21.6,80,63,71,8.55,0,0
A1529,MB,13.6,94,82,88,8.27,0,0
A1530,MM,12.4,88,78,83,6.71,0,0
A1531,MB,11.6,63,43,53,2.56,0,0
A1532,KR,14.7,83,69,76,6.67,0,0
A1533,MM,12.7,76,57,66,4.34,0,0
A1534,MM,16.7,88,76,82,8.58,12,2.7
A1535,KR,14,59,45,52,2.97,0,0
A1536,MM,11.2,78,64,71,4.43,0,0
A1537,KR,16.5,65,53,59,4.51,0,0
A1538,MM,16.9,78,60,69,6.32,0,0
A1539,MRS,17.9,81,63,72,7.29,0,0
A1540,MM,9.2,77,69,73,3.64,15,5.4
A1541,MB,16.4,85,68,76,7.44,0,0
A1542,BNS,20.2,68,51,59,5.52,0,0
A1543,BNS,8.9,73,67,70,2.87,25,16.2
A1544,BNS,10.1,94,88,91,6.57,0,0
A1545,MM,19,82,65,73,7.95,0,0
A1546,MM,16.4,63,56,59,4.48,0,0
A1547,BNS,11.5,96,86,91,6.64,27,11.2
A1548,MM,8.5,121,97,109,7.93,0,0
A1549,KR,17.2,62,41,51,3.51,0,0
A1550,KR,16.5,84,64,74,7.1,0,0
A1551,KR,19.5,82,59,70,7.5,0,0
A1552,KR,16.7,91,73,82,8.82,0,0
A1553,KR,19.7,96,75,85,11.18,0,0
A1554,KR,14.9,87,64,75,6.58,0,0
A1555,KR,14.8,89,72,80,7.44,0,0
A1556,KR,15.5,100,78,89,9.64,0,0
A1557,KR,16.6,99,77,88,10.1,0,0
A1558,KR,18.7,83,56,69,6.99,0,0
A1559,KR,14.8,71,66,68,5.37,0,0
A1560,KR,17.6,102,72,87,10.46,0,0
A1561,KR,16.5,84,62,73,6.91,0,0
A1562,KR,16.1,78,48,63,5.02,0,0
A1563,KR,21.4,68,53,60,6.05,0,0
A1564,KR,18.5,95,67,81,9.53,0,0
A1565,KR,21.4,87,67,77,9.97,0,0
A1566,KR,21.4,82,59,70,8.24,0,0
A1567,KR,15.5,102,76,89,9.64,0,0
A1568,KR,18.6,78,59,68,6.75,0,0
A1569,KR,19.9,86,69,77,9.27,0,0
A1570,MM,19.1,75,59,67,6.73,0,0
A1571,MM,17,74,54,64,5.47,0,0
A1572,MM,15.4,76,62,69,5.76,0,0
A1573,MM,12.3,64,55,59,3.36,0,0
A1574,MP,18.9,84,73,78,9.03,0,0
A1575,MM,17.1,89,70,79,8.38,0,0
A1576,MM,15.2,71,52,61,4.44,0,0
A1577,MM,11.8,79,68,73,4.94,0,0
A1578,MM,12.3,88,78,83,6.66,0,0
A1579,MM,13.5,77,63,70,5.2,0,0
A1580,MM,12.6,80,64,72,5.13,0,0
A1581,MM,16.2,89,79,84,8.98,0,0
A1582,MM,11.1,92,87,89,6.91,0,0
A1583,MM,18.1,79,65,72,7.37,0,0
A1584,KR,13.9,67,51,59,3.8,0,0
A1585,BNS,17.1,77,67,72,6.96,0,0
A1586,KR,12.4,72,63,67,4.37,0,0
A1587,KR,21.2,78,56,67,7.47,0,0
A1588,KR,17.5,64,44,54,4.01,0,0
A1589,KR,21.2,66,42,54,4.86,0,0
A1590,KR,14.4,59,50,54,3.3,0,0
A1591,MK,16.8,57,44,50,3.3,0,0
A1592,KR,18.7,78,52,65,6.21,0,0
A1593,KR,20.4,86,58,72,8.31,0,0
A1594,KR,13.6,66,59,62,4.11,0,0
A1595,KR,13.2,67,43,55,3.14,0,0
A1596,KR,16.5,59,42,50,3.24,0,0
A1597,KR,18.8,59,43,51,3.84,0,0
A1598,KR,17.6,60,43,51,3.6,0,0
A1599,KR,15.9,55,48,51,3.25,0,0
A1600,KR,15.6,67,55,61,4.56,0,0
A1601,KR,20.1,62,43,52,4.27,0,0
A1602,BNS,16.3,69,54,61,4.76,0,0
A1603,KR,15.2,56,42,49,2.87,0,0
A1604,KR,16.9,62,44,53,3.73,0,0
A1605,KR,21.3,67,49,58,5.63,0,0
A1606,KR,20.1,57,41,49,3.79,0,0
A1607,MM,16,66,53,59,4.21,10,3.7
A1608,MM,13.8,60,51,55,2.78,19,15.2
A1609,KR,17.2,79,53,66,5.88,0,0
A1610,KR,16.2,63,46,54,3.71,0,0
A1611,MM,21.3,68,52,60,6.02,0,0
A1612,BNS,18.1,92,73,82,8.68,22,9.2
A1613,BNS,11.9,89,79,84,6.59,0,0
A1614,KR,15.5,78,62,70,5.97,0,0
A1615,KR,16.3,68,62,65,5.41,0,0
A1616,KR,12.5,89,68,78,5.97,0,0
A1617,KR,12,62,56,59,3.28,0,0
A1618,BNS,14.7,67,56,61,4.3,0,0
A1619,KR,21.1,67,49,58,5.57,0,0
A1620,KR,11.1,76,64,70,4.27,0,0
A1621,KR,21.1,59,41,50,4.14,0,0
A1622,KR,10.5,65,50,57,2.68,0,0
A1623,MM,10.9,57,51,54,2.5,0,0
A1624,MM,11.3,66,55,60,3.2,0,0
A1625,MM,10.6,96,80,88,6.45,0,0
A1626,MM,13.5,88,74,81,6.52,18,6.3
A1627,MM,14.6,91,76,83,7.9,0,0
A1628,MM,17.6,63,58,60,4.98,0,0
A1629,MK,16.9,68,56,62,5.1,0,0
A1630,MM,17.7,62,52,57,4.52,0,0
A1631,MM,13.9,77,70,73,5.82,0,0
A1632,KR,21.7,79,56,67,7.65,0,0
A1633,KR,20.3,93,60,76,9.21,0,0
A1634,KR,14.7,54,43,48,2.66,0,0
A1635,KR,16.2,76,59,67,5.71,0,0
A1636,KR,11.8,73,70,71,4.67,0,0
A1637,KR,19.2,75,53,64,6.18,0,0
A1638,KR,12.6,105,79,92,8.38,0,0
A1639,KR,13.1,97,81,89,8.15,0,0
A1640,MM,14.1,60,51,55,3.35,0,0
A1641,MM,13,73,58,65,4.31,0,0
A1642,MM,16.1,89,73,81,8.3,0,0
A1643,MM,12.5,67,59,63,3.9,0,0
A1644,MM,10,63,54,58,2.64,0,0
A1645,MM,15.7,104,84,94,10.9,0,0
A1646,MM,16.4,77,58,67,5.78,0,0
A1647,MM,8.8,68,57,62,2.66,0,0
A1648,MM,12.7,83,68,75,5.61,0,0
A1649,MM,11.7,67,55,61,3.42,0,0
A1650,MM,16.1,60,51,55,3.83,0,0
A1651,MM,15.1,77,56,66,5.17,0,0
A1652,KR,15.8,67,52,59,4.32,0,0
A1653,KR,15.4,62,42,52,3.27,0,0
A1654,KR,20,79,58,68,7.26,0,0
A1655,MM,16.6,59,52,55,3.94,0,0
A1656,KR,12.5,108,86,97,9.24,0,0
A1657,KR,9.1,82,80,81,4.69,0,0
A1658,KR,19.2,93,69,81,9.89,0,0
A1659,KR,20.4,94,72,83,11.04,0,0
A1660,KR,19.2,64,41,52,4.08,0,0
A1661,KR,20.3,75,53,64,6.53,0,0
A1662,KR,18.6,82,66,74,8,0,0
A1663,KR,14.5,58,44,51,2.96,0,0
A1664,KR,16.1,59,42,50,3.16,0,0
A1665,KR,15.7,68,54,61,4.59,0,0
A1666,MRS,14.3,59,43,51,2.92,0,0
A1667,KR,19.2,77,55,66,6.57,0,0
A1668,KR,21.8,73,55,64,7.01,0,0
A1669,KR,12.4,57,46,51,2.53,0,0
A1670,MM,19.6,84,63,73,8.2,0,0
A1671,MM,18.4,67,51,59,5.03,0,0
A1672,MM,12.8,90,77,83,6.93,0,0
A1673,MM,13,57,51,54,2.98,0,0
A1674,MM,12.9,98,91,94,8.95,0,0
A1675,MM,9,58,51,54,2.06,0,0
A1676,BNS,12.3,64,58,61,3.39,13,5.8
A1677,MM,16.5,66,51,58,4.36,0,0
A1678,BNS,15.7,86,68,77,6.48,23,11.4
A1679,MM,15.2,70,52,61,4.44,0,0
A1680,MM,12.6,84,66,75,5.57,0,0
A1681,MM,10.8,67,59,63,3.26,10,3.2
A1682,MM,13,75,60,67,4.58,0,0
A1683,MM,13.8,58,49,53,3.04,0,0
A1684,MM,15.4,74,57,65,5.11,0,0
A1685,KR,10.2,83,70,76,4.63,0,0
A1686,MM,13.6,66,58,62,4.11,0,0
A1687,BNS,17.2,106,88,97,12.71,0,0
A1688,MM,10.6,62,51,56,2.61,0,0
A1689,MM,16.9,79,69,74,7.27,0,0
A1690,BNS,15.9,105,95,100,12.49,0,0
A1691,KR,9.1,102,95,98,6.86,0,0
A1692,MM,21.4,71,53,62,6.46,0,0
A1693,MM,9.2,87,82,84,4.73,20,7.2
A1694,MM,17.8,89,72,80,8.95,0,0
A1695,MM,17.6,62,51,56,4.33,0,0
A1696,MM,20.5,102,80,91,13.33,0,0
A1697,MM,13.6,97,78,87,8.08,0,0
A1698,KR,11.9,107,91,99,9.16,0,0
A1699,KR,13.1,93,85,89,8.15,0,0
A1700,MM,12.5,78,64,71,4.95,0,0
A1701,MM,12.7,67,52,59,3.47,0,0
A1702,MM,16.7,83,67,75,7.38,0,0
A1703,MM,14.7,63,51,57,3.75,0,0
A1704,MB,20,92,73,82,10.56,0,0
